Price,Date,Close,High,Low,Open,Volume
Ticker,,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA
0,2008-01-01 00:00:00,38.762752532958984,38.762752532958984,37.61974930266689,37.61974930266689,25259300
1,2008-01-02 00:00:00,37.5700569152832,38.89527936359893,37.5700569152832,38.64680015453973,12622700
2,2008-01-03 00:00:00,39.441932678222656,39.441932678222656,38.6799287874063,38.6799287874063,11309900
3,2008-01-04 00:00:00,40.23707580566406,40.31990222974132,39.44194415665194,39.44194415665194,12087400
4,2008-01-07 00:00:00,40.0714225769043,40.25364171920825,39.67385675617439,40.2370754234854,7985800
5,2008-01-08 00:00:00,40.121097564697266,40.41927303524346,39.9554448063561,40.07140123166281,7975300
6,2008-01-09 00:00:00,40.121097564697266,40.319880369174555,39.92231476021997,40.121097564697266,5446900
7,2008-01-10 00:00:00,39.78980255126953,40.369587358508525,39.7732387876594,40.1211081554061,8089600
8,2008-01-11 00:00:00,39.54132080078125,39.938889016729135,39.09405876954325,39.7897999878758,10776700
9,2008-01-14 00:00:00,40.154239654541016,40.27019864228852,39.34254190627603,39.54132477037549,10032600
10,2008-01-15 00:00:00,40.10454177856445,40.35302096547585,39.889192644375704,40.15423559381793,3234200
11,2008-01-16 00:00:00,39.508201599121094,40.13768288484907,39.44194147542833,40.10455282300269,10469700
12,2008-01-17 00:00:00,39.17689895629883,39.64072744101783,39.027812402625024,39.50820465571784,6068000
13,2008-01-18 00:00:00,39.822940826416016,39.87263718282707,39.01124293979493,39.176895776057336,5760700
14,2008-01-21 00:00:00,39.839500427246094,40.25363244831934,39.7069776749704,39.82293413533866,8412300
15,2008-01-22 00:00:00,39.574462890625,39.574462890625,38.76276497695852,38.76276497695852,15736200
16,2008-01-23 00:00:00,39.25971603393555,39.591021654475085,39.06093316714408,39.09406322366578,7244000
17,2008-01-24 00:00:00,39.09408187866211,39.37569128496743,38.8621688446842,39.25973476797848,5291900
18,2008-01-25 00:00:00,39.839500427246094,39.889196775307134,39.01123638509961,39.09406278931426,15402100
19,2008-01-28 00:00:00,39.59102249145508,39.922328118998635,39.508196084569185,39.83950171211274,2304000
20,2008-01-29 00:00:00,39.723567962646484,39.90578464539337,39.55791505415143,39.59104513031788,3569100
21,2008-01-30 00:00:00,39.475074768066406,39.889206894194544,39.475074768066406,39.72355404374329,2524100
22,2008-01-31 00:00:00,39.706974029541016,39.706974029541016,39.458494839709516,39.47506113009603,1481800
23,2008-02-01 00:00:00,39.59102249145508,39.922328118998635,39.4253696776833,39.70697895556305,6514400
24,2008-02-04 00:00:00,39.55788803100586,39.70697453574096,39.50819168687381,39.59101808454021,1385200
25,2008-02-05 00:00:00,39.55788803100586,39.55788803100586,39.55788803100586,39.55788803100586,0
26,2008-02-06 00:00:00,39.375667572021484,39.6407130463761,39.276277414884234,39.557886651597904,3260600
27,2008-02-07 00:00:00,39.59102249145508,39.624152548677166,39.17689045702563,39.375673328019495,2784100
